name,artist,album,spotify_id,duration_ms,explicit,uri,primary_genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
F Q-C #7,WILLOW,F Q-C # 7,7kWks2sTkgY8ThFSwRTrHg,119693,False,spotify:track:7kWks2sTkgY8ThFSwRTrHg,Unknown,0.887,0.468,2,-5.128,1,0.037,0.0455,8.98e-05,0.0653,0.404,102.037,4
Do Your Dance,EMEFE,Good Future,6E2Arxs7Bt7jFgF5qc1j4O,386506,False,spotify:track:6E2Arxs7Bt7jFgF5qc1j4O,Unknown,0.64,0.682,9,-5.684,1,0.0486,0.165,0.667,0.0625,0.683,137.578,4
A Vision Complete,Paris Monster,It Once Had Been Kind,2tvBjOPuLDq66BDXMq3G0Z,177493,False,spotify:track:2tvBjOPuLDq66BDXMq3G0Z,Unknown,0.694,0.713,1,-5.083,0,0.0788,0.0185,0.00317,0.0738,0.311,98.981,4
All I Knew,Papadosio,Observations,3XMqIvXmM7GlxHia6aw6Nr,348306,False,spotify:track:3XMqIvXmM7GlxHia6aw6Nr,Unknown,0.385,0.771,9,-7.27,0,0.0338,0.314,0.0966,0.24,0.677,120.024,4
The Man,Patto,Patto,5CTLQJVCmlQ0usBC2fCWBu,381000,False,spotify:track:5CTLQJVCmlQ0usBC2fCWBu,Unknown,0.547,0.247,7,-15.615,1,0.0538,0.0776,0.00292,0.0669,0.467,144.937,3
Nimble Girl,Hotel Eden,Rewind,5QS9GYw1lZtIIlfnCqNvgX,263186,False,spotify:track:5QS9GYw1lZtIIlfnCqNvgX,Unknown,0.481,0.851,7,-4.528,1,0.127,0.0846,0.907,0.178,0.848,174.144,4
Callin' Out,Lyrics Born,"Callin' out 12""",3cq68LrfebgBW4sgXHtHOF,214346,True,spotify:track:3cq68LrfebgBW4sgXHtHOF,Unknown,0.855,0.673,10,-4.311,0,0.295,0.171,0,0.109,0.949,94.91,4
I'd Rather Go Blind,The Frightnrs,I'd Rather Go Blind - Single,3Ue6KAFvPDcHzacdJJNBwH,213254,False,spotify:track:3Ue6KAFvPDcHzacdJJNBwH,Unknown,0.667,0.562,9,-8.947,1,0.0986,0.3,0.00358,0.222,0.965,144.421,5
Cowboy Movie,David Crosby,If I Could Only Remember My Name,5ZoI4tXPZzcN7PIVmxO7kF,491400,False,spotify:track:5ZoI4tXPZzcN7PIVmxO7kF,Unknown,0.307,0.629,2,-12.499,1,0.0675,0.0061,1.85e-05,0.136,0.514,76.349,4
Come Dancing,Jeff Beck,Wired,5cAu2DK8rs1cqYfXLd4FbP,354426,False,spotify:track:5cAu2DK8rs1cqYfXLd4FbP,Unknown,0.583,0.703,0,-8.345,0,0.0392,0.063,0.614,0.0556,0.93,96.55,4
Camelblues,Mndsgn,Yawn Zen,4JsKup7v4h4xkpcI6Yy2Fo,152984,False,spotify:track:4JsKup7v4h4xkpcI6Yy2Fo,Unknown,0.594,0.304,9,-15.353,0,0.029,0.947,0.198,0.0933,0.13,79.994,4
Loan Me a Dime,Boz Scaggs,Boz Scaggs,05LTrpC9z6YpTPmaeGC9kQ,751920,False,spotify:track:05LTrpC9z6YpTPmaeGC9kQ,Unknown,0.392,0.471,9,-10.518,0,0.0377,0.309,0.0577,0.287,0.382,139.957,4
Nighttime in the Switching Yard,Warren Zevon,Excitable Boy,4B9MPmBNMqJkJCpj93NtOe,259320,False,spotify:track:4B9MPmBNMqJkJCpj93NtOe,Unknown,0.799,0.883,8,-6.659,1,0.0493,0.0288,0.0818,0.0442,0.964,113.36,4
(For A While) I Couldn't Play My Guitar Like a Man,FREEMAN,FREEMAN,3Nu0vT6akj1O1Rgoz4VqKw,286640,False,spotify:track:3Nu0vT6akj1O1Rgoz4VqKw,Unknown,0.814,0.431,10,-10.145,1,0.0375,0.425,0.0428,0.108,0.654,134.965,4
Can't Get Right,Ghost-Note,Fortified,6XL9JE1lnxOzpfibQPR5kR,255306,False,spotify:track:6XL9JE1lnxOzpfibQPR5kR,Unknown,0.568,0.734,8,-5.817,1,0.194,0.042,0.879,0.387,0.651,178.521,5
